Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
03/18/2017,36605,22859,59464,10073,3838,13911,12737,17469,22859,40328,2487,5225
03/19/2017,36614,22875,59489,10086,3838,13924,12739,17464,22875,40339,2488,5226
03/20/2017,36661,22876,59537,10089,3841,13930,12742,17476,22876,40352,2500,5255
03/21/2017,36584,22790,59374,10088,3847,13935,12694,17411,22790,40201,2494,5238
03/22/2017,36590,22787,59377,10110,3842,13952,12690,17396,22787,40183,2495,5242
03/23/2017,36590,22814,59404,10101,3837,13938,12706,17423,22814,40237,2490,5229
03/24/2017,36527,22754,59281,10079,3821,13900,12674,17381,22754,40135,2498,5246
03/25/2017,36449,22709,59158,10034,3816,13850,12654,17347,22709,40056,2501,5252
03/26/2017,36516,22728,59244,10068,3829,13897,12662,17349,22728,40077,2507,5270
03/27/2017,36594,22761,59355,10097,3840,13937,12684,17387,22761,40148,2507,5270
03/28/2017,36552,22701,59253,10095,3846,13941,12657,17353,22701,40054,2502,5258
03/29/2017,36521,22723,59244,10067,3820,13887,12668,17364,22723,40087,2507,5270
03/30/2017,36517,22723,59240,10083,3808,13891,12669,17356,22723,40079,2506,5270
03/31/2017,36393,22649,59042,10046,3774,13820,12631,17303,22649,39952,2507,5270
04/01/2017,36234,22540,58774,10012,3782,13794,12571,17198,22540,39738,2495,5242
04/02/2017,36232,22561,58793,9980,3790,13770,12584,17216,22561,39777,2496,5246
04/03/2017,36392,22591,58983,10112,3801,13913,12605,17250,22591,39841,2487,5229
04/04/2017,36392,22571,58963,10090,3798,13888,12594,17237,22571,39808,2505,5267
04/05/2017,36408,22557,58965,10099,3815,13914,12585,17214,22557,39771,2512,5280
04/06/2017,36397,22484,58881,10134,3825,13959,12552,17175,22484,39659,2501,5263
04/07/2017,36348,22455,58803,10120,3805,13925,12542,17162,22455,39617,2500,5261
04/08/2017,36325,22465,58790,10108,3800,13908,12541,17163,22465,39628,2497,5254
04/09/2017,36378,22494,58872,10119,3820,13939,12553,17186,22494,39680,2495,5253
04/10/2017,36412,22506,58918,10122,3813,13935,12557,17197,22506,39703,2508,5280
04/11/2017,36388,22481,58869,10110,3808,13918,12560,17215,22481,39696,2496,5255
04/12/2017,36354,22439,58793,10102,3823,13925,12529,17164,22439,39603,2501,5265
04/18/2017,36466,22369,58835,10195,3825,14020,12478,17121,22369,39490,2529,5325
04/19/2017,36533,22388,58921,10218,3842,14060,12497,17140,22388,39528,2533,5333
04/20/2017,36521,22409,58930,10186,3846,14032,12511,17147,22409,39556,2536,5342
04/21/2017,36475,22385,58860,10153,3810,13963,12501,17142,22385,39527,2550,5370
04/22/2017,36511,22416,58927,10146,3824,13970,12516,17173,22416,39589,2548,5368
04/23/2017,36573,22458,59031,10175,3825,14000,12546,17212,22458,39670,2545,5361
04/24/2017,36614,22437,59051,10198,3828,14026,12536,17203,22437,39640,2557,5385
04/25/2017,36573,22465,59038,10193,3842,14035,12536,17207,22465,39672,2532,5331
04/26/2017,36556,22455,59011,10175,3837,14012,12530,17189,22455,39644,2542,5355
04/27/2017,36586,22473,59059,10176,3826,14002,12556,17226,22473,39699,2542,5358
04/28/2017,36470,22457,58927,10074,3823,13897,12562,17236,22457,39693,2533,5337
04/29/2017,36363,22393,58756,10075,3813,13888,12509,17161,22393,39554,2521,5314
04/30/2017,36486,22392,58878,10152,3819,13971,12508,17165,22392,39557,2540,5350
05/01/2017,36477,22415,58892,10123,3802,13925,12527,17197,22415,39612,2543,5355
05/02/2017,36367,22335,58702,10171,3795,13966,12479,17136,22335,39471,2498,5265
05/03/2017,36426,22377,58803,10160,3810,13970,12502,17164,22377,39541,2512,5292
05/04/2017,36347,22357,58704,10166,3799,13965,12484,17139,22357,39496,2488,5243
05/05/2017,36243,22300,58543,10149,3791,13940,12452,17077,22300,39377,2478,5226
05/06/2017,36204,22302,58506,10101,3810,13911,12443,17050,22302,39352,2486,5243
05/07/2017,36299,22345,58644,10165,3821,13986,12454,17073,22345,39418,2485,5240
05/08/2017,36364,22389,58753,10189,3821,14010,12472,17096,22389,39485,2494,5258
05/09/2017,36342,22379,58721,10157,3837,13994,12460,17092,22379,39471,2493,5256
05/10/2017,36331,22414,58745,10177,3762,13939,12492,17124,22414,39538,2498,5268
05/11/2017,36347,22403,58750,10168,3817,13985,12488,17103,22403,39506,2494,5259
05/12/2017,36295,22351,58646,10149,3815,13964,12456,17063,22351,39414,2498,5268
05/13/2017,36337,22358,58695,10183,3817,14000,12469,17085,22358,39443,2491,5252
05/15/2017,36307,22312,58619,10177,3811,13988,12437,17055,22312,39367,2498,5264
05/16/2017,36338,22296,58634,10189,3846,14035,12435,17050,22296,39346,2493,5253
05/17/2017,36435,22374,58809,10197,3848,14045,12489,17121,22374,39495,2500,5269
05/18/2017,36344,22323,58667,10168,3826,13994,12454,17084,22323,39407,2499,5266
05/19/2017,36312,22309,58621,10150,3812,13962,12457,17079,22309,39388,2501,5271
05/20/2017,36358,22335,58693,10162,3825,13987,12482,17107,22335,39442,2496,5264
05/21/2017,36396,22307,58703,10190,3831,14021,12476,17096,22307,39403,2504,5279
05/22/2017,36421,22295,58716,10216,3848,14064,12463,17094,22295,39389,2496,5263
05/23/2017,36324,22257,58581,10204,3834,14038,12436,17053,22257,39310,2481,5233
05/28/2017,36254,22287,58541,10134,3826,13960,12476,17091,22287,39378,2465,5203
05/29/2017,36292,22258,58550,10217,3828,14045,12456,17058,22258,39316,2458,5189
05/30/2017,36291,22214,58505,10230,3849,14079,12430,17021,22214,39235,2459,5191
05/31/2017,36233,22179,58412,10219,3839,14058,12413,16993,22179,39172,2455,5182
06/01/2017,36112,22149,58261,10139,3811,13950,12419,16989,22149,39138,2452,5173
06/02/2017,36121,22201,58322,10100,3787,13887,12443,17032,22201,39233,2465,5202
06/03/2017,36056,22144,58200,10102,3780,13882,12408,16989,22144,39133,2457,5185
06/01/2017,36112,22149,58261,10139,3811,13950,12419,16989,22149,39138,2452,5173
06/02/2017,36121,22201,58322,10100,3787,13887,12443,17032,22201,39233,2465,5202
06/03/2017,36056,22144,58200,10102,3780,13882,12408,16989,22144,39133,2457,5185
06/04/2017,36186,22163,58349,10175,3805,13980,12426,17011,22163,39174,2462,5195
06/01/2017,36112,22149,58261,10139,3811,13950,12419,16989,22149,39138,2452,5173
06/02/2017,36121,22201,58322,10100,3787,13887,12443,17032,22201,39233,2465,5202
06/03/2017,36056,22144,58200,10102,3780,13882,12408,16989,22144,39133,2457,5185
06/04/2017,36186,22163,58349,10175,3805,13980,12426,17011,22163,39174,2462,5195
06/05/2017,36280,22194,58474,10220,3820,14040,12433,17022,22194,39216,2473,5218
06/06/2017,36149,22153,58302,10221,3713,13934,12406,16992,22153,39145,2474,5223
06/06/2017,36149,22153,58302,10221,3713,13934,12406,16992,22153,39145,2474,5223
06/07/2017,36290,22173,58463,10223,3829,14052,12433,17016,22173,39189,2473,5222
06/08/2017,36281,22100,58381,10237,3841,14078,12398,16967,22100,39067,2480,5236
06/09/2017,36194,22104,58298,10181,3822,14003,12411,16978,22104,39082,2470,5213
06/10/2017,36121,22089,58210,10127,3812,13939,12393,16954,22089,39043,2476,5228
06/11/2017,36151,22106,58257,10137,3827,13964,12401,16970,22106,39076,2470,5217
06/12/2017,36147,22091,58238,10150,3813,13963,12400,16966,22091,39057,2469,5218
06/13/2017,36126,22042,58168,10131,3837,13968,12362,16926,22042,38968,2477,5232
06/14/2017,36167,22097,58264,10150,3824,13974,12396,16956,22097,39053,2479,5237
06/15/2017,36168,22082,58250,10171,3826,13997,12386,16948,22082,39030,2474,5223
06/16/2017,36104,22091,58195,10121,3802,13923,12398,16985,22091,39076,2460,5196
06/17/2017,36112,22068,58180,10141,3802,13943,12388,16971,22068,39039,2461,5198
06/18/2017,36165,22119,58284,10135,3818,13953,12414,17002,22119,39121,2467,5210
06/19/2017,36260,22144,58404,10189,3834,14023,12422,17022,22144,39166,2469,5215
06/20/2017,36182,22036,58218,10181,3827,14008,12375,16951,22036,38987,2473,5223
06/21/2017,36178,22067,58245,10180,3818,13998,12394,16965,22067,39032,2470,5215
06/25/2017,36173,22117,58290,10177,3796,13973,12406,16981,22117,39098,2471,5219
06/26/2017,36154,22119,58273,10173,3793,13966,12407,16992,22119,39111,2460,5196
06/27/2017,36209,22142,58351,10220,3823,14043,12404,16995,22142,39137,2448,5171
06/28/2017,36190,22179,58369,10185,3800,13985,12439,17030,22179,39209,2449,5175
06/29/2017,36184,22187,58371,10162,3818,13980,12443,17039,22187,39226,2444,5165
06/30/2017,35994,22165,58159,10056,3782,13838,12439,17021,22165,39186,2431,5135
07/01/2017,35976,22165,58141,10059,3776,13835,12418,17004,22165,39169,2432,5137
07/02/2017,36007,22127,58134,10079,3809,13888,12388,16970,22127,39097,2437,5149
07/03/2017,36013,22088,58101,10066,3811,13877,12371,16957,22088,39045,2450,5179
07/04/2017,35890,22047,57937,10008,3796,13804,12349,16933,22047,38980,2438,5153
07/05/2017,36054,22074,58128,10073,3830,13903,12365,16955,22074,39029,2459,5196
07/06/2017,36082,22078,58160,10117,3832,13949,12368,16952,22078,39030,2452,5181
07/07/2017,36042,22111,58153,10069,3818,13887,12382,16967,22111,39078,2456,5188
07/08/2017,36015,22142,58157,10030,3803,13833,12398,17003,22142,39145,2452,5179
07/09/2017,36111,22139,58250,10107,3824,13931,12387,16981,22139,39120,2463,5199
07/10/2017,36138,22135,58273,10097,3840,13937,12393,16997,22135,39132,2465,5204
07/11/2017,36136,22135,58271,10092,3843,13935,12385,16977,22135,39112,2475,5224
07/12/2017,36144,22175,58319,10104,3844,13948,12395,16989,22175,39164,2467,5207
07/13/2017,36101,22156,58257,10099,3835,13934,12384,16957,22156,39113,2467,5210
07/14/2017,36142,22214,58356,10077,3837,13914,12428,17017,22214,39231,2469,5211
07/15/2017,36140,22236,58376,10051,3834,13885,12448,17048,22236,39284,2468,5207
07/16/2017,36225,22254,58479,10095,3862,13957,12452,17058,22254,39312,2469,5210
07/17/2017,36249,22234,58483,10141,3868,14009,12435,17030,22234,39264,2469,5210
07/18/2017,36217,22200,58417,10156,3860,14016,12421,17004,22200,39204,2462,5197
07/19/2017,36262,22220,58482,10125,3872,13997,12442,17052,22220,39272,2469,5213
07/20/2017,36275,22223,58498,10154,3883,14037,12431,17034,22223,39257,2466,5204
07/21/2017,36229,22209,58438,10102,3864,13966,12435,17033,22209,39242,2477,5230
07/22/2017,36221,22229,58450,10080,3859,13939,12452,17044,22229,39273,2480,5238
07/23/2017,36283,22207,58490,10130,3880,14010,12438,17023,22207,39230,2486,5250
07/24/2017,36307,22184,58491,10154,3895,14049,12417,17004,22184,39188,2489,5254
07/25/2017,36311,22204,58515,10184,3877,14061,12416,17004,22204,39208,2486,5246
07/26/2017,36352,22223,58575,10183,3896,14079,12431,17023,22223,39246,2488,5250
07/27/2017,36364,22231,58595,10187,3894,14081,12433,17023,22231,39254,2492,5260
07/28/2017,36278,22235,58513,10096,3885,13981,12431,17029,22235,39264,2495,5268
07/29/2017,36269,22222,58491,10093,3893,13986,12423,17022,22222,39244,2494,5261
07/30/2017,36324,22229,58553,10132,3901,14033,12429,17032,22229,39261,2493,5259
07/31/2017,36342,22232,58574,10132,3905,14037,12423,17025,22232,39257,2503,5280
08/01/2017,36195,22170,58365,10085,3872,13957,12379,16962,22170,39132,2501,5276
08/02/2017,36292,22156,58448,10125,3900,14025,12393,16979,22156,39135,2507,5288
08/03/2017,36293,22235,58528,10084,3892,13976,12424,17022,22235,39257,2509,5295
08/04/2017,36272,22247,58519,10045,3883,13928,12429,17042,22247,39289,2512,5302
08/05/2017,36296,22266,58562,10044,3889,13933,12444,17064,22266,39330,2511,5299
08/06/2017,36467,22298,58765,10149,3910,14059,12464,17094,22298,39392,2517,5314
08/07/2017,36505,22298,58803,10205,3911,14116,12462,17093,22298,39391,2509,5296
08/08/2017,36467,22261,58728,10209,3911,14120,12435,17062,22261,39323,2504,5285
08/09/2017,36435,22240,58675,10187,3908,14095,12431,17047,22240,39287,2508,5293
08/10/2017,36508,22328,58836,10196,3914,14110,12482,17096,22328,39424,2513,5302
08/11/2017,36431,22302,58733,10133,3893,14026,12476,17089,22302,39391,2519,5316
08/12/2017,36439,22313,58752,10130,3892,14022,12480,17095,22313,39408,2521,5322
08/13/2017,36554,22362,58916,10204,3904,14108,12508,17135,22362,39497,2515,5311
08/14/2017,36622,22357,58979,10245,3913,14158,12504,17136,22357,39493,2525,5328
08/15/2017,36626,22349,58975,10241,3927,14168,12501,17128,22349,39477,2526,5330
08/16/2017,36688,22426,59114,10251,3927,14178,12529,17166,22426,39592,2533,5344
08/17/2017,36590,22355,58945,10239,3924,14163,12501,17125,22355,39480,2511,5302
08/18/2017,36517,22359,58876,10184,3892,14076,12500,17129,22359,39488,2516,5312
08/19/2017,36475,22327,58802,10162,3895,14057,12484,17107,22327,39434,2516,5311
08/20/2017,36591,22366,58957,10222,3906,14128,12502,17140,22366,39506,2522,5323
08/21/2017,36665,22387,59052,10248,3919,14167,12518,17165,22387,39552,2527,5333
08/22/2017,36612,22380,58992,10232,3900,14132,12510,17164,22380,39544,2519,5316
08/23/2017,36653,22418,59071,10223,3925,14148,12531,17188,22418,39606,2520,5317
08/24/2017,36674,22452,59126,10244,3919,14163,12542,17196,22452,39648,2518,5315
08/25/2017,36640,22472,59112,10191,3932,14123,12558,17212,22472,39684,2513,5305
08/26/2017,36601,22426,59027,10170,3951,14121,12545,17184,22426,39610,2509,5296
08/27/2017,36685,22418,59103,10242,3979,14221,12541,17176,22418,39594,2506,5288
08/28/2017,36776,22495,59271,10249,3979,14228,12584,17245,22495,39740,2513,5303
08/29/2017,36799,22512,59311,10265,3981,14246,12575,17219,22512,39731,2530,5334
08/30/2017,36881,22631,59512,10258,3982,14240,12642,17311,22631,39942,2528,5330
08/31/2017,36878,22624,59502,10272,3995,14267,12640,17308,22624,39932,2514,5303
09/01/2017,36697,22655,59352,10142,3919,14061,12666,17344,22655,39999,2507,5292
09/02/2017,36644,22627,59271,10146,3913,14059,12650,17315,22627,39942,2495,5270
09/03/2017,36805,22675,59480,10224,3936,14160,12676,17349,22675,40024,2506,5296
09/04/2017,36761,22640,59401,10240,3947,14187,12639,17295,22640,39935,2498,5279
09/05/2017,36844,22712,59556,10238,3955,14193,12683,17371,22712,40083,2498,5280
09/06/2017,36825,22689,59514,10262,3949,14211,12656,17354,22689,40043,2488,5260
09/07/2017,36845,22730,59575,10228,3950,14178,12687,17381,22730,40111,2502,5286
09/08/2017,36818,22779,59597,10218,3924,14142,12687,17369,22779,40148,2512,5307
09/09/2017,36757,22773,59530,10168,3920,14088,12685,17367,22773,40140,2510,5302
09/10/2017,36859,22766,59625,10234,3950,14184,12693,17375,22766,40141,2509,5300
09/11/2017,36962,22870,59832,10230,3951,14181,12736,17446,22870,40316,2526,5335
09/12/2017,36952,22823,59775,10250,3948,14198,12716,17414,22823,40237,2529,5340
09/13/2017,36972,22840,59812,10240,3972,14212,12728,17428,22840,40268,2525,5332
09/14/2017,36990,22873,59863,10236,3979,14215,12734,17427,22873,40300,2532,5348
09/15/2017,36942,22869,59811,10201,3967,14168,12737,17431,22869,40300,2529,5343
09/16/2017,36937,22898,59835,10189,3947,14136,12747,17448,22898,40346,2533,5353
09/17/2017,37044,22927,59971,10253,3962,14215,12766,17475,22927,40402,2534,5354
09/18/2017,37016,22866,59882,10250,3978,14228,12732,17432,22866,40298,2535,5356
09/19/2017,37043,22923,59966,10257,3994,14251,12755,17473,22923,40396,2517,5319
09/19/2017,37043,22923,59966,10257,3994,14251,12755,17473,22923,40396,2517,5319
09/20/2017,37067,22952,60019,10251,3989,14240,12776,17484,22952,40436,2526,5343
09/21/2017,37125,22991,60116,10266,3988,14254,12805,17525,22991,40516,2528,5346
09/22/2017,37033,23007,60040,10207,3974,14181,12805,17522,23007,40529,2521,5330
09/23/2017,37035,23079,60114,10188,3961,14149,12839,17564,23079,40643,2517,5322
09/24/2017,37087,23024,60111,10262,3982,14244,12807,17516,23024,40540,2520,5327
09/25/2017,37076,22945,60021,10268,4003,14271,12774,17479,22945,40424,2520,5326
09/26/2017,37085,22971,60056,10264,4000,14264,12796,17486,22971,40457,2524,5335
09/27/2017,37090,23004,60094,10267,3986,14253,12818,17510,23004,40514,2521,5327
09/28/2017,37112,23031,60143,10259,4000,14259,12843,17545,23031,40576,2513,5308
09/29/2017,36935,22987,59922,10142,3971,14113,12812,17511,22987,40498,2514,5311
09/30/2017,36959,22930,59889,10197,3968,14165,12795,17489,22930,40419,2511,5305
10/01/2017,37059,23038,60097,10197,3998,14195,12851,17569,23038,40607,2507,5295
10/02/2017,37043,23002,60045,10223,3997,14220,12818,17542,23002,40544,2500,5281
10/03/2017,37064,23084,60148,10234,3995,14229,12843,17563,23084,40647,2497,5272
10/04/2017,37146,23068,60214,10266,4030,14296,12838,17551,23068,40619,2509,5299
10/05/2017,37064,22987,60051,10257,4035,14292,12799,17500,22987,40487,2496,5272
10/06/2017,37008,23042,60050,10191,3996,14187,12822,17540,23042,40582,2500,5281
10/07/2017,36932,22953,59885,10170,4008,14178,12797,17508,22953,40461,2484,5246
10/08/2017,37043,22967,60010,10249,4039,14288,12801,17504,22967,40471,2486,5251
10/09/2017,37125,22964,60089,10280,4057,14337,12804,17538,22964,40502,2486,5250
10/10/2017,37192,23045,60237,10276,4055,14331,12845,17591,23045,40636,2495,5270
10/11/2017,37264,23086,60350,10308,4075,14383,12866,17610,23086,40696,2496,5271
10/12/2017,37267,23067,60334,10301,4087,14388,12857,17591,23067,40658,2505,5288
10/13/2017,37219,23098,60317,10272,4069,14341,12863,17594,23098,40692,2504,5284
10/14/2017,37064,23083,60147,10209,4022,14231,12857,17577,23083,40660,2491,5256
10/15/2017,37197,23138,60335,10248,4044,14292,12899,17642,23138,40780,2495,5263
10/16/2017,37298,23138,60436,10286,4062,14348,12914,17668,23138,40806,2504,5282
10/17/2017,37182,23123,60305,10281,3928,14209,12907,17667,23123,40790,2515,5306
10/18/2017,37353,23172,60525,10275,4067,14342,12935,17702,23172,40874,2518,5309
10/19/2017,37352,23173,60525,10282,4064,14346,12954,17713,23173,40886,2511,5293
10/20/2017,37274,23173,60447,10220,4043,14263,12945,17717,23173,40890,2512,5294
10/21/2017,37291,23228,60519,10246,4025,14271,12963,17740,23228,40968,2504,5280
10/22/2017,37355,23182,60537,10303,4060,14363,12944,17721,23182,40903,2499,5271
10/23/2017,37287,23071,60358,10299,4068,14367,12895,17655,23071,40726,2496,5265
10/24/2017,37325,23056,60381,10317,4071,14388,12895,17644,23056,40700,2509,5293
10/25/2017,37331,23121,60452,10306,4061,14367,12914,17659,23121,40780,2516,5305
10/26/2017,37326,23131,60457,10330,4065,14395,12912,17639,23131,40770,2511,5292
10/27/2017,37160,23056,60216,10252,4041,14293,12884,17603,23056,40659,2498,5264
10/28/2017,37135,23047,60182,10236,4044,14280,12870,17593,23047,40640,2497,5262
10/29/2017,37250,23060,60310,10316,4051,14367,12879,17606,23060,40666,2504,5277
10/30/2017,37282,23069,60351,10339,4063,14402,12887,17616,23069,40685,2497,5264
10/31/2017,37182,22996,60178,10305,4052,14357,12845,17560,22996,40556,2497,5265
11/01/2017,37121,22988,60109,10283,4031,14314,12837,17546,22988,40534,2495,5261
11/02/2017,37088,22905,59993,10285,4040,14325,12799,17492,22905,40397,2500,5271
11/05/2017,37122,22944,60066,10307,4031,14338,12818,17522,22944,40466,2496,5262
11/06/2017,37252,23013,60265,10330,4040,14370,12869,17597,23013,40610,2506,5285
11/07/2017,37270,22947,60217,10370,4063,14433,12837,17553,22947,40500,2506,5284
11/08/2017,37303,22976,60279,10366,4069,14435,12864,17589,22976,40565,2505,5279
11/09/2017,37264,22954,60218,10377,4069,14446,12841,17550,22954,40504,2501,5268
11/10/2017,37282,22966,60248,10373,4077,14450,12860,17575,22966,40541,2494,5257
11/11/2017,37146,22932,60078,10336,4044,14380,12829,17534,22932,40466,2481,5232
11/12/2017,37275,23012,60287,10381,4062,14443,12866,17586,23012,40598,2489,5246
11/13/2017,37340,22965,60305,10439,4078,14517,12847,17570,22965,40535,2492,5253
11/14/2017,37360,22965,60325,10436,4091,14527,12834,17560,22965,40525,2501,5273
11/15/2017,37364,22988,60352,10432,4075,14507,12842,17555,22988,40543,2514,5302
11/16/2017,37387,22994,60381,10460,4092,14552,12844,17554,22994,40548,2503,5281
11/18/2017,37268,22895,60163,10450,4079,14529,12789,17464,22895,40359,2502,5275
11/19/2017,37278,22930,60208,10437,4066,14503,12806,17487,22930,40417,2509,5288
11/20/2017,37395,22968,60363,10501,4059,14560,12825,17530,22968,40498,2517,5305
11/21/2017,37414,22954,60368,10499,4076,14575,12833,17549,22954,40503,2511,5290
11/22/2017,37371,22945,60316,10495,4056,14551,12832,17534,22945,40479,2507,5286
11/23/2017,37279,22936,60215,10410,4056,14466,12833,17534,22936,40470,2504,5279
11/24/2017,37328,22933,60261,10460,4066,14526,12820,17517,22933,40450,2507,5285
11/25/2017,37250,22863,60113,10465,4058,14523,12773,17451,22863,40314,2503,5276
11/26/2017,37321,22858,60179,10510,4084,14594,12762,17442,22858,40300,2508,5285
11/27/2017,37394,22885,60279,10531,4094,14625,12785,17482,22885,40367,2509,5287
11/28/2017,37433,22908,60341,10540,4095,14635,12799,17498,22908,40406,2516,5300
11/29/2017,37464,22911,60375,10542,4116,14658,12792,17484,22911,40395,2526,5322
11/30/2017,37400,22830,60230,10531,4105,14636,12773,17451,22830,40281,2522,5313
12/01/2017,37262,22887,60149,10449,4067,14516,12784,17455,22887,40342,2510,5291
12/02/2017,37259,22905,60164,10490,4056,14546,12794,17467,22905,40372,2489,5246
12/03/2017,37372,22916,60288,10534,4078,14612,12810,17492,22916,40408,2498,5268
12/04/2017,37414,22934,60348,10525,4070,14595,12826,17521,22934,40455,2512,5298
12/05/2017,37413,22918,60331,10531,4077,14608,12810,17517,22918,40435,2507,5288
12/06/2017,37569,22966,60535,10600,4114,14714,12844,17565,22966,40531,2506,5290
12/07/2017,37516,22936,60452,10579,4112,14691,12827,17540,22936,40476,2506,5285
12/08/2017,37438,22903,60341,10572,4081,14653,12809,17516,22903,40419,2497,5269
12/09/2017,37442,22927,60369,10562,4077,14639,12825,17537,22927,40464,2496,5266
12/10/2017,37528,22980,60508,10604,4077,14681,12848,17570,22980,40550,2503,5277
12/12/2017,37522,22929,60451,10606,4098,14704,12822,17532,22929,40461,2507,5286
12/13/2017,37594,22916,60510,10648,4109,14757,12821,17533,22916,40449,2517,5304
12/14/2017,37646,22947,60593,10665,4119,14784,12826,17542,22947,40489,2524,5320
12/15/2017,37628,22957,60585,10641,4093,14734,12833,17557,22957,40514,2532,5337
12/16/2017,37521,22926,60447,10577,4093,14670,12819,17536,22926,40462,2520,5315
12/17/2017,37580,22929,60509,10628,4100,14728,12815,17541,22929,40470,2520,5311
12/18/2017,37575,22905,60480,10626,4103,14729,12806,17526,22905,40431,2522,5320
12/19/2017,37523,22835,60358,10634,4093,14727,12772,17489,22835,40324,2516,5307
12/20/2017,37530,22829,60359,10650,4094,14744,12774,17478,22829,40307,2515,5308
12/21/2017,37563,22820,60383,10643,4092,14735,12785,17487,22820,40307,2530,5341
12/22/2017,37484,22824,60308,10621,4080,14701,12765,17467,22824,40291,2517,5316
12/23/2017,37391,22785,60176,10584,4055,14639,12744,17438,22785,40223,2517,5314
12/24/2017,37401,22806,60207,10589,4049,14638,12755,17453,22806,40259,2516,5310
11/12/2013,29144,22092,51236,7350,2730,10080,10572,15064,22092,37156,1885,4000
11/19/2013,29168,22215,51383,7301,2724,10025,10626,15146,22215,37361,1887,3997
11/30/2013,28885,22146,51031,7167,2662,9829,10593,15079,22146,37225,1874,3977
02/21/2014,29609,22484,52093,7516,2750,10266,10732,15320,22484,37804,1898,4023
07/02/2014,30429,23206,53635,7530,2812,10342,11230,16069,23206,39275,1910,4018
07/28/2014,31215,23645,54860,7676,2929,10605,11465,16433,23642,40075,1985,4177
02/03/2015,33666,24819,58485,8504,3187,11691,12082,17418,24819,42237,2167,4557
03/11/2015,33535,24286,57821,8640,3188,11828,11879,17154,24286,41440,2163,4553
12/25/2017,37456,22830,60286,10621,4051,14672,12774,17471,22830,40301,2518,5313
12/26/2017,37468,22760,60228,10660,4069,14729,12742,17415,22760,40175,2523,5324
12/27/2017,37365,22668,60033,10632,4086,14718,12684,17345,22668,40013,2512,5302
12/28/2017,37387,22692,60079,10657,4051,14708,12710,17375,22692,40067,2513,5304
12/29/2017,37356,22694,60050,10632,4034,14666,12722,17384,22694,40078,2513,5306
12/30/2017,37322,22695,60017,10627,4030,14657,12716,17384,22695,40079,2503,5281
12/31/2017,37248,22685,59933,10564,4012,14576,12707,17379,22685,40064,2507,5293
01/01/2018,37388,22711,60099,10644,4039,14683,12721,17396,22711,40107,2516,5309
01/02/2018,37444,22682,60126,10695,4064,14759,12706,17377,22682,40059,2516,5308
01/03/2018,37301,22542,59843,10684,4047,14731,12619,17279,22542,39821,2507,5291
01/04/2018,37461,22636,60097,10706,4061,14767,12691,17385,22636,40021,2516,5309
01/05/2018,37354,22566,59920,10688,4049,14737,12638,17303,22566,39869,2517,5314
01/06/2018,37313,22579,59892,10686,4027,14713,12644,17312,22579,39891,2504,5288
01/07/2018,37435,22657,60092,10698,4044,14742,12693,17388,22657,40045,2512,5305
01/08/2018,37505,22655,60160,10715,4079,14794,12696,17398,22655,40053,2514,5313
01/09/2018,37449,22595,60044,10746,4064,14810,12664,17350,22595,39945,2505,5289
01/10/2018,37481,22627,60108,10762,4068,14830,12686,17366,22627,39993,2503,5285
01/11/2018,37571,22725,60296,10776,4087,14863,12747,17448,22725,40173,2492,5260
01/12/2018,37454,22759,60213,10689,4047,14736,12744,17457,22759,40216,2494,5261
01/13/2018,37467,22710,60177,10723,4058,14781,12716,17420,22710,40130,2496,5266
01/14/2018,37641,22760,60401,10807,4082,14889,12759,17476,22760,40236,2500,5276
01/15/2018,37667,22813,60480,10774,4110,14884,12777,17496,22813,40309,2505,5287
01/16/2018,37655,22786,60441,10792,4092,14884,12771,17485,22786,40271,2504,5286
01/17/2018,37718,22813,60531,10805,4115,14920,12793,17511,22813,40324,2506,5287
01/18/2018,37777,22783,60560,10812,4150,14962,12775,17479,22783,40262,2530,5336
01/19/2018,37742,22795,60537,10792,4136,14928,12801,17500,22795,40295,2519,5314
01/20/2018,37742,22888,60630,10782,4104,14886,12848,17556,22888,40444,2511,5300
01/21/2018,37829,22874,60703,10834,4124,14958,12847,17571,22874,40445,2511,5300
01/21/2018,37829,22874,60703,10834,4124,14958,12847,17571,22874,40445,2511,5300
01/22/2018,37823,22824,60647,10877,4123,15000,12817,17527,22824,40351,2511,5296
01/23/2018,37852,22880,60732,10883,4137,15020,12835,17553,22880,40433,2502,5279
01/24/2018,37891,22904,60795,10893,4138,15031,12856,17561,22904,40465,2513,5299
01/25/2018,37926,22919,60845,10920,4126,15046,12874,17596,22919,40515,2505,5284
01/26/2018,37916,22927,60843,10905,4122,15027,12876,17595,22927,40522,2505,5294
01/27/2018,37875,22922,60797,10902,4114,15016,12874,17591,22922,40513,2494,5268
01/28/2018,37931,22930,60861,10939,4120,15059,12883,17603,22930,40533,2493,5269
01/29/2018,37973,22930,60903,10913,4145,15058,12870,17602,22930,40532,2516,5313
01/30/2018,38009,22906,60915,10976,4143,15119,12853,17580,22906,40486,2515,5310
01/31/2018,38088,22950,61038,10989,4150,15139,12878,17619,22950,40569,2524,5330
